trial,state,objective,avg_composite,avg_vif,avg_nrqm,avg_unique,denoise_radius,ltm_radius,ltm_downsample,post_denoise_radius,sharp_radius,raw_y_blur_radius,day_vif,day_nrqm,day_unique,day_composite,night_vif,night_nrqm,night_unique,night_composite
41,trialstate.complete,1.9007945781082214,1.9007945781082214,0.7078249355157216,7.590280930201213,1.3018259505430856,2,14,0.25,0,2.5,1,0.5245690941810608,7.75081221262614,0.9652912020683289,1.6214137277027172,0.8910807768503824,7.429749647776286,1.6383606990178425,2.1801754285137256
42,trialstate.complete,1.9016614598678054,1.9016614598678054,0.7107908129692078,7.573446273803711,1.3005793591340382,3,14,0.25,0,2.5,2,0.5245275100072225,7.7505621910095215,0.965303917725881,1.621351379915496,0.897054115931193,7.3963303565979,1.6358548005421956,2.1819715398201147
43,trialstate.complete,1.901653595382621,1.901653595382621,0.7107995053132375,7.573446273803711,1.3005296885967255,3,16,0.25,0,2.5,3,0.5245477755864462,7.7505621910095215,0.9652791619300842,1.6213633935710392,0.8970512350400289,7.3963303565979,1.6357802152633667,2.1819437971942026
44,trialstate.complete,1.901653595382621,1.901653595382621,0.7107995053132375,7.573446273803711,1.3005296885967255,3,15,0.25,0,2.5,3,0.5245477755864462,7.7505621910095215,0.9652791619300842,1.6213633935710392,0.8970512350400289,7.3963303565979,1.6357802152633667,2.1819437971942026
45,trialstate.complete,1.7919535750670335,1.7919535750670335,0.757483184337616,7.246447404225668,0.9294778803984324,3,13,0.5,5,1.5,3,0.5999407768249512,6.3901675542195635,0.7310861945152283,1.4826526867232521,0.9150255918502808,8.102727254231771,1.1278695662816365,2.1012544634108146
46,trialstate.complete,1.7954859685319464,1.7954859685319464,0.6492978235085805,8.029403527577719,1.0297444065411887,3,15,0.25,1,0.5,4,0.5234029690424601,7.553415934244792,0.949970543384552,1.5954010936049423,0.7751926779747009,8.505391120910645,1.1095182696978252,1.9955708434589505
47,trialstate.complete,1.8161136150408885,1.8161136150408885,0.8069923619429271,7.150768438975016,0.8821341097354889,4,11,0.75,0,2.5,3,0.6643201311429342,6.388506730397542,0.4995117783546448,1.4696745637969775,0.9496645927429199,7.91303014755249,1.264756441116333,2.1625526662847996
48,trialstate.complete,1.8159832291469276,1.8159832291469276,0.6566184262434641,7.5796089967091875,1.204212913910548,3,14,0.25,1,2.5,2,0.5201107064882914,7.657413323720296,0.9757904807726542,1.6111152071877122,0.7931261459986368,7.501804669698079,1.4326353470484416,2.020851251106143
49,trialstate.complete,1.7996604170804122,1.7996604170804122,0.7546257972717285,7.284420410792033,0.9497786859671276,3,12,0.5,4,2.0,7,0.5997722347577413,6.38953161239624,0.7625012596448263,1.4928922283785542,0.9094793597857157,8.179309209187826,1.1370561122894287,2.1064286057822703
50,trialstate.complete,1.9150194429088434,1.9150194429088434,0.714264710744222,7.685614347457886,1.296581188837687,4,4,0.25,0,1.5,6,0.5261029203732809,7.755010604858398,0.9699779748916626,1.624929649163683,0.9024265011151632,7.616218090057373,1.6231844027837117,2.2051092366540037
