step,lr,loss,ms_ssim,vif,nrqm,unique,vif_term,a_nrqm_term,b_unique_term,composite,l1_y,l1_uv,head_grad_mean,body_grad_mean,tail_grad_mean
33,0.00100000,-1.58080494,0.91044170,0.44443327,2.51768589,1.93986118,0.44443327,0.25176859,0.64661975,1.34282161,0.03395288,0.44925052,0.03689609,0.01319656,0.30489576
34,0.00100000,-1.59884799,0.93117321,0.46148422,2.48507333,1.91042638,0.46148422,0.24850733,0.63680816,1.34679971,0.03281507,0.43898436,0.05310706,0.01586284,0.30451676
35,0.00100000,-1.55360091,0.93665528,0.46020973,2.41704059,1.73810863,0.46020973,0.24170406,0.57936897,1.28128275,0.03444413,0.42549965,0.06892899,0.02283460,0.25841421
36,0.00100000,-1.49778199,0.92234433,0.48143309,2.43955159,1.59084904,0.48143309,0.24395516,0.53028248,1.25567074,0.03675789,0.46247005,0.16451538,0.06515580,1.14248443
37,0.00100000,-1.45270526,0.91298383,0.48236194,2.45970726,1.47182906,0.48236194,0.24597073,0.49060919,1.21894186,0.04823127,0.46535897,0.07839143,0.02472866,0.82671404
38,0.00100000,-1.51296437,0.90349150,0.46786419,2.51390958,1.71879530,0.46786419,0.25139096,0.57293119,1.29218634,0.11469541,0.46524957,0.05506985,0.01449719,0.64004672
39,0.00100000,-1.55893373,0.88907301,0.43732619,2.56884265,1.95014083,0.43732619,0.25688426,0.65004629,1.34425675,0.16967297,0.46379316,0.03889310,0.01276164,0.33853802
40,0.00100000,-1.60149014,0.87173194,0.40956226,2.47351098,2.17315435,0.40956226,0.24735110,0.72438406,1.38129742,0.20627522,0.45056736,0.02404600,0.01028863,0.29315746
41,0.00100000,-1.55277622,0.88432258,0.41967431,2.40522552,1.95407426,0.41967431,0.24052255,0.65135744,1.31155430,0.19858766,0.43670946,0.02220381,0.00533678,0.26597506
42,0.00100000,-1.63948047,0.91594708,0.47119421,2.44160080,2.08937216,0.47119421,0.24416008,0.69645669,1.41181098,0.11228626,0.44636655,0.08811963,0.02233570,1.23750401
43,0.00100000,-1.62230551,0.92099392,0.49962369,2.40991831,1.99016166,0.49962369,0.24099183,0.66338656,1.40400207,0.04104474,0.45623988,0.01615849,0.00615250,0.12723790
44,0.00100000,-1.61414778,0.91402364,0.50049633,2.37691760,1.98633087,0.50049633,0.23769176,0.66210963,1.40029771,0.04646222,0.45924026,0.03028195,0.01054176,0.30167672
45,0.00100000,-1.63992453,0.90605825,0.48934162,2.33148932,2.10823989,0.48934162,0.23314893,0.70274593,1.42523648,0.05490327,0.45408300,0.03238747,0.00982216,0.46529976
46,0.00100000,-1.67040038,0.90668100,0.47364244,2.37834144,2.21974397,0.47364244,0.23783414,0.73991392,1.45139050,0.05307526,0.44296592,0.02710951,0.00588846,0.32063732
47,0.00100000,-1.70044672,0.91639972,0.46882406,2.38145208,2.28797746,0.46882406,0.23814521,0.76265839,1.46962766,0.04859706,0.42993373,0.01814925,0.00544440,0.18381475
48,0.00100000,-1.62921000,0.93252683,0.46422225,2.28773785,1.98990762,0.46422225,0.22877378,0.66330188,1.35629791,0.04080443,0.39555764,0.02996068,0.00807039,0.29600495
