step,lr,loss,ms_ssim,vif,nrqm,unique,vif_term,a_nrqm_term,b_unique_term,composite,l1_y,l1_uv,head_grad_mean,body_grad_mean,tail_grad_mean
46,0.00010000,-1.86323512,0.93712693,0.51633680,2.61225033,2.59183860,0.51633680,0.26122503,0.86394534,1.64150717,0.04395417,0.06344455,0.00651957,0.00564826,0.08136619
47,0.00010000,-1.86517417,0.93699998,0.51800549,2.60718560,2.59718108,0.51800549,0.26071856,0.86572616,1.64445021,0.04408631,0.06381895,0.00736047,0.00413442,0.07241529
48,0.00010000,-1.86733162,0.93681681,0.51944041,2.55592966,2.60384202,0.51944041,0.25559297,0.86794647,1.64297985,0.04437866,0.06470121,0.01038052,0.00476168,0.06821344
49,0.00010000,-1.86889970,0.93682319,0.51961148,2.59073091,2.60926533,0.51961148,0.25907309,0.86975424,1.64843881,0.04419452,0.06586711,0.01204728,0.00551772,0.06447007
50,0.00010000,-1.87005949,0.93681920,0.51879883,2.60200262,2.61437416,0.51879883,0.26020026,0.87145718,1.65045627,0.04403307,0.06711693,0.00849958,0.00491831,0.07040440
51,0.00010000,-1.87157869,0.93714422,0.51751876,2.64438987,2.61992383,0.51751876,0.26443899,0.87330707,1.65526482,0.04355947,0.06798306,0.00863644,0.00605731,0.06141696
52,0.00010000,-1.87302899,0.93748420,0.51745629,2.66513896,2.62388849,0.51745629,0.26651390,0.87462862,1.65859881,0.04287612,0.06858688,0.01071652,0.00615225,0.07105760
53,0.00010000,-1.87407088,0.93747818,0.51826197,2.67349148,2.62684941,0.51826197,0.26734915,0.87561560,1.66122671,0.04274752,0.06940815,0.01246277,0.00728530,0.06522088
54,0.00010000,-1.87547076,0.93769419,0.51771021,2.67416143,2.63154507,0.51771021,0.26741614,0.87718081,1.66230716,0.04285520,0.07000034,0.02216257,0.00846889,0.05906415
55,0.00010000,-1.87676835,0.93824935,0.51778519,2.62677383,2.63412476,0.51778519,0.26267738,0.87804071,1.65850328,0.04235781,0.07054121,0.01151128,0.00655454,0.07426488
56,0.00010000,-1.87835705,0.93828106,0.52095622,2.66538668,2.63651681,0.52095622,0.26653867,0.87883806,1.66633294,0.04287231,0.07165930,0.01338398,0.00686080,0.05807708
57,0.00010000,-1.87929976,0.93779868,0.52519417,2.66884995,2.63751221,0.52519417,0.26688499,0.87916986,1.67124902,0.04427708,0.07310867,0.01077642,0.00560470,0.05219258
58,0.00010000,-1.88055062,0.93779820,0.52652544,2.64443421,2.64062953,0.52652544,0.26444342,0.88020896,1.67117782,0.04472595,0.07394017,0.01547885,0.00790568,0.06090949
59,0.00010000,-1.88138390,0.93827945,0.52638179,2.65226150,2.64212036,0.52638179,0.26522615,0.88070591,1.67231385,0.04415458,0.07446319,0.01073369,0.00397742,0.04576776
60,0.00010000,-1.88269508,0.93872631,0.52725804,2.66213679,2.64445090,0.52725804,0.26621368,0.88148275,1.67495447,0.04328101,0.07543962,0.02160868,0.00817342,0.05689346
61,0.00010000,-1.88328481,0.93875152,0.52820098,2.65548873,2.64553595,0.52820098,0.26554887,0.88184443,1.67559429,0.04300613,0.07587904,0.00659166,0.00372466,0.03999960
62,0.00010000,-1.88428438,0.93886161,0.52738404,2.69730139,2.64918590,0.52738404,0.26973014,0.88306108,1.68017526,0.04257503,0.07548290,0.01756071,0.00734690,0.06267814
63,0.00010000,-1.88505626,0.93876576,0.52722126,2.71140432,2.65215397,0.52722126,0.27114043,0.88405044,1.68241213,0.04269293,0.07522096,0.00925699,0.00437524,0.05955746
64,0.00010000,-1.88596892,0.93869048,0.52761936,2.72028589,2.65515375,0.52761936,0.27202859,0.88505037,1.68469832,0.04284413,0.07553626,0.01184878,0.00627520,0.05224559
65,0.00010000,-1.88707519,0.93912524,0.52868474,2.76130104,2.65637612,0.52868474,0.27613010,0.88545782,1.69027266,0.04245190,0.07568310,0.01359923,0.00622398,0.04491113
66,0.00010000,-1.88791537,0.93933290,0.53024894,2.70842600,2.65677905,0.53024894,0.27084260,0.88559213,1.68668367,0.04259625,0.07525939,0.00597116,0.00470978,0.03917866
67,0.00010000,-1.88859200,0.93913347,0.53220737,2.71477652,2.65774012,0.53220737,0.27147765,0.88591249,1.68959751,0.04304036,0.07525651,0.01065232,0.00663563,0.04869518
68,0.00010000,-1.88952684,0.93981004,0.53145278,2.72779369,2.65921068,0.53145278,0.27277937,0.88640267,1.69063482,0.04221729,0.07482286,0.01083322,0.00644894,0.04803144
69,0.00010000,-1.89024806,0.94038385,0.53055120,2.77194977,2.66049147,0.53055120,0.27719498,0.88682960,1.69457577,0.04148951,0.07448626,0.00952130,0.00465024,0.03950159
70,0.00010000,-1.89101267,0.94036883,0.53163588,2.74989796,2.66191721,0.53163588,0.27498980,0.88730485,1.69393053,0.04151623,0.07422167,0.00986494,0.00481347,0.03785115
71,0.00010000,-1.89166045,0.94039679,0.53220075,2.76832151,2.66329265,0.53220075,0.27683215,0.88776333,1.69679623,0.04128433,0.07384322,0.00959665,0.00393513,0.04590271
72,0.00010000,-1.89248538,0.94047636,0.53326577,2.79786420,2.66452932,0.53326577,0.27978642,0.88817555,1.70122774,0.04134256,0.07329582,0.01142582,0.00468101,0.04532085
73,0.00010000,-1.89324701,0.94067913,0.53368038,2.79538608,2.66601157,0.53368038,0.27953861,0.88866964,1.70188862,0.04130531,0.07339688,0.00679312,0.00547613,0.04596765
74,0.00010000,-1.89385509,0.94083858,0.53428626,2.80111313,2.66698122,0.53428626,0.28011131,0.88899285,1.70339042,0.04102811,0.07363850,0.01203366,0.00494425,0.02872212
75,0.00010000,-1.89452732,0.94039559,0.53628761,2.81762147,2.66870117,0.53628761,0.28176215,0.88956617,1.70761592,0.04171797,0.07364850,0.01549937,0.00667347,0.03118251
76,0.00010000,-1.89509678,0.94030029,0.53801244,2.85882854,2.66925287,0.53801244,0.28588285,0.88975007,1.71364537,0.04195351,0.07383109,0.00872856,0.00403081,0.03810664
77,0.00010000,-1.89573860,0.94095242,0.53822649,2.80377650,2.66912293,0.53822649,0.28037765,0.88970676,1.70831089,0.04080082,0.07418682,0.01377495,0.00680592,0.04062197
78,0.00010000,-1.89655781,0.94112724,0.53899145,2.84914446,2.67036366,0.53899145,0.28491445,0.89012033,1.71402623,0.04100765,0.07375906,0.01129565,0.00532516,0.03874746
79,0.00010000,-1.89717793,0.94069153,0.54174411,2.90149570,2.67111206,0.54174411,0.29014957,0.89036980,1.72226348,0.04219334,0.07370513,0.01096136,0.00494071,0.03943081
80,0.00010000,-1.89776039,0.94096780,0.54228437,2.90715313,2.67151666,0.54228437,0.29071531,0.89050466,1.72350434,0.04195642,0.07347654,0.01044644,0.00434712,0.03437130
81,0.00010000,-1.89831495,0.94162846,0.54085714,2.88362789,2.67247701,0.54085714,0.28836279,0.89082478,1.72004470,0.04105798,0.07313789,0.01223456,0.00607971,0.03846175
82,0.00010000,-1.89900243,0.94153070,0.54175913,2.89356017,2.67419386,0.54175913,0.28935602,0.89139706,1.72251221,0.04128509,0.07314275,0.01322867,0.00484004,0.05105744
83,0.00010000,-1.89936805,0.94136107,0.54334086,2.87381053,2.67443943,0.54334086,0.28738105,0.89147892,1.72220083,0.04104932,0.07327029,0.01252399,0.00551098,0.03275672
84,0.00010000,-1.89999068,0.94172406,0.54265702,2.90934634,2.67589951,0.54265702,0.29093463,0.89196561,1.72555726,0.04061179,0.07300405,0.01510194,0.00597114,0.04312875
85,0.00010000,-1.90062153,0.94200802,0.54339147,2.89987111,2.67642188,0.54339147,0.28998711,0.89213973,1.72551831,0.04015063,0.07330491,0.01237043,0.00508645,0.02958035
86,0.00010000,-1.90107286,0.94189942,0.54477930,2.85647416,2.67703199,0.54477930,0.28564742,0.89234311,1.72276982,0.04029083,0.07369977,0.00921458,0.00518682,0.03376255
87,0.00010000,-1.90156269,0.94191581,0.54507148,2.87186837,2.67813754,0.54507148,0.28718684,0.89271162,1.72496994,0.04015103,0.07315933,0.01554926,0.00752639,0.03503971
88,0.00010000,-1.90226591,0.94186312,0.54733819,2.91263199,2.67848992,0.54733819,0.29126320,0.89282908,1.73143047,0.04057323,0.07345730,0.01263393,0.00623394,0.03203127
89,0.00010000,-1.90270531,0.94199592,0.54796052,2.91250992,2.67879629,0.54796052,0.29125099,0.89293120,1.73214272,0.04098610,0.07317700,0.00827819,0.00478532,0.03316625
90,0.00010000,-1.90311265,0.94234645,0.54746795,2.91776919,2.67943382,0.54746795,0.29177692,0.89314371,1.73238858,0.04028219,0.07304437,0.00980645,0.00465930,0.03472723
91,0.00010000,-1.90367270,0.94186175,0.54895586,2.92407250,2.68149972,0.54895586,0.29240725,0.89383235,1.73519545,0.04123998,0.07325922,0.01159289,0.00524220,0.04589419
92,0.00010000,-1.90424597,0.94195235,0.54991716,2.92160034,2.68219376,0.54991716,0.29216003,0.89406369,1.73614089,0.04092516,0.07339732,0.01109998,0.00438732,0.03428508
93,0.00010000,-1.90431666,0.94235569,0.54872811,2.91874409,2.68214893,0.54872811,0.29187441,0.89404875,1.73465127,0.04027311,0.07302114,0.00819954,0.00465044,0.03247368
94,0.00010000,-1.90435660,0.94208443,0.55156225,2.88913560,2.68074703,0.55156225,0.28891356,0.89358145,1.73405726,0.04132439,0.07420662,0.02300058,0.01112625,0.05087549
95,0.00010000,-1.90541995,0.94241703,0.54977560,2.91145992,2.68458629,0.54977560,0.29114599,0.89486120,1.73578279,0.04086138,0.07305726,0.02509669,0.01314132,0.05405791
96,0.00010000,-1.90558970,0.94245887,0.55194616,2.92364740,2.68293667,0.55194616,0.29236474,0.89431133,1.73862223,0.04022451,0.07334070,0.02213339,0.00855251,0.03262412
97,0.00010000,-1.90593743,0.94199890,0.55460966,2.89928389,2.68311882,0.55460966,0.28992839,0.89437205,1.73891009,0.04192864,0.07380050,0.01703562,0.00893763,0.04080522
98,0.00010000,-1.90669990,0.94236016,0.55251598,2.91658998,2.68622494,0.55251598,0.29165900,0.89540742,1.73958240,0.04145031,0.07282539,0.02251906,0.01025551,0.03928528
99,0.00010000,-1.90679634,0.94270825,0.55319470,2.94268060,2.68462491,0.55319470,0.29426806,0.89487408,1.74233684,0.04043420,0.07257785,0.01443427,0.00688543,0.03469054
100,0.00010000,-1.90714645,0.94192415,0.55738580,2.89744949,2.68447065,0.55738580,0.28974495,0.89482266,1.74195341,0.04256514,0.07334755,0.02230182,0.01145863,0.04779930
